candidate_id,rank,score,reasoning
CAND_0064215,79,0.67511,Matched JD using semantic similarity. Experience: 8.7 years. Relevant skills: Accounting Node.js Hadoop Salesforce CRM CI/CD Redux Spark Data Science
CAND_0039097,80,0.67478,Matched JD using semantic similarity. Experience: 9.9 years. Relevant skills: Go Azure PostgreSQL Airflow Kubeflow Apache Flink SQL CI/CD Figma
CAND_0053768,81,0.67469,Matched JD using semantic similarity. Experience: 14.3 years. Relevant skills: HTML Redis AWS gRPC Java Feature Engineering GCP LLMs Recommendation
CAND_0078016,82,0.6746,Matched JD using semantic similarity. Experience: 8.6 years. Relevant skills: Java SEO YOLO Vue.js ASR Content Writing Next.js SQL PEFT
CAND_0080002,83,0.67443,Matched JD using semantic similarity. Experience: 14.6 years. Relevant skills: Microservices Airflow GraphQL AWS FastAPI Apache Flink LangChain RAG Embeddings
CAND_0068512,84,0.6743,Matched JD using semantic similarity. Experience: 12.6 years. Relevant skills: SQL PostgreSQL GraphQL JavaScript ETL Accounting Sentence Transformers LangChain LLMs
CAND_0055999,85,0.67427,Matched JD using semantic similarity. Experience: 7.8 years. Relevant skills: JavaScript FastAPI PostgreSQL Microservices BigQuery Hugging Face Transformers Prompt Engineering
CAND_0061979,86,0.67403,Matched JD using semantic similarity. Experience: 11.8 years. Relevant skills: Agile Redis Node.js React Scrum BentoML Photoshop SEO Content Writing
CAND_0013842,87,0.67385,Matched JD using semantic similarity. Experience: 8.4 years. Relevant skills: Java GANs Microservices BigQuery Snowflake Django Hugging Face Transformers Sentence
CAND_0054644,88,0.67379,Matched JD using semantic similarity. Experience: 14.5 years. Relevant skills: Time Series Spark SAP PostgreSQL SQL Marketing GraphQL gRPC Agile
CAND_0040871,89,0.67358,Matched JD using semantic similarity. Experience: 9.2 years. Relevant skills: React PostgreSQL Django Illustrator Spark MLOps Marketing GraphQL Databricks Azure
CAND_0046593,90,0.67354,Matched JD using semantic similarity. Experience: 8.6 years. Relevant skills: Java Next.js Agile Spring Boot Flask Node.js CSS Hadoop Pinecone
CAND_0085950,91,0.67347,Matched JD using semantic similarity. Experience: 11.2 years. Relevant skills: BentoML BigQuery Salesforce CRM AWS Redux Agile Rust SEO GraphQL
CAND_0096943,92,0.67327,Matched JD using semantic similarity. Experience: 12.2 years. Relevant skills: Data Pipelines Apache Flink Sales Airflow Java Spark Fine-tuning LLMs
CAND_0095111,93,0.67323,Matched JD using semantic similarity. Experience: 10.6 years. Relevant skills: Vue.js FastAPI Accounting Airflow ETL Apache Flink Redis Databricks Kubeflow
CAND_0079232,94,0.6732,Matched JD using semantic similarity. Experience: 8.0 years. Relevant skills: CI/CD Apache Flink Spring Boot Redux Microservices Databricks Illustrator FastAPI
CAND_0094082,95,0.67319,Matched JD using semantic similarity. Experience: 13.2 years. Relevant skills: Rust Microservices Apache Flink Vue.js FastAPI Spark Agile Tally PostgreSQL
CAND_0005478,96,0.67315,Matched JD using semantic similarity. Experience: 14.1 years. Relevant skills: Redux OpenCV Excel SAP Salesforce CRM Rust Sales PostgreSQL LLMs
CAND_0035664,97,0.67309,Matched JD using semantic similarity. Experience: 11.5 years. Relevant skills: Accounting Hadoop SEO BigQuery Next.js AWS Tally Illustrator Figma Prompt
CAND_0007997,98,0.67308,Matched JD using semantic similarity. Experience: 15.0 years. Relevant skills: Vue.js Agile Spark ETL Salesforce CRM PostgreSQL Redux Prompt Engineering
CAND_0045982,99,0.67299,Matched JD using semantic similarity. Experience: 8.3 years. Relevant skills: SEO Redux Webpack Tailwind Databricks Terraform Node.js Hugging Face Transformers
CAND_0040489,100,0.67285,Matched JD using semantic similarity. Experience: 8.0 years. Relevant skills: Snowflake Next.js Illustrator GCP SEO Webpack JavaScript Vector Search Pinecone
